seed,fitness_name,n,budget,algo_name,algo_params,iterations,evaluations,p_mean,p_min,p_max
20044,OneMax,100,100000,sigcGA,{'eps': 0.05},269,539,0.9801999999999998,0.01,0.99
20045,OneMax,100,100000,sigcGA,{'eps': 0.05},251,504,0.9801999999999998,0.01,0.99
20046,OneMax,100,100000,sigcGA,{'eps': 0.05},270,542,0.9801999999999998,0.01,0.99
20047,OneMax,100,100000,sigcGA,{'eps': 0.05},273,547,0.9801999999999998,0.01,0.99
20048,OneMax,100,100000,sigcGA,{'eps': 0.05},168,337,0.9801999999999998,0.01,0.99
20049,OneMax,100,100000,sigcGA,{'eps': 0.05},161,323,0.9801999999999998,0.01,0.99
20050,OneMax,100,100000,sigcGA,{'eps': 0.05},221,443,0.9801999999999998,0.01,0.99
20051,OneMax,100,100000,sigcGA,{'eps': 0.05},319,639,0.9899999999999999,0.99,0.99
20052,OneMax,100,100000,sigcGA,{'eps': 0.05},292,586,0.9802,0.01,0.99
20053,OneMax,100,100000,sigcGA,{'eps': 0.05},235,471,0.9899999999999999,0.99,0.99
20054,OneMax,100,100000,sigcGA,{'eps': 0.05},288,577,0.9899999999999999,0.99,0.99
20055,OneMax,100,100000,sigcGA,{'eps': 0.05},200,401,0.9703999999999999,0.01,0.99
20056,OneMax,100,100000,sigcGA,{'eps': 0.05},207,415,0.9899999999999999,0.99,0.99
20057,OneMax,100,100000,sigcGA,{'eps': 0.05},340,681,0.9801999999999998,0.01,0.99
20058,OneMax,100,100000,sigcGA,{'eps': 0.05},327,656,0.9899999999999999,0.99,0.99
20059,OneMax,100,100000,sigcGA,{'eps': 0.05},354,709,0.9899999999999999,0.99,0.99
20060,OneMax,100,100000,sigcGA,{'eps': 0.05},291,583,0.9801999999999998,0.01,0.99
20061,OneMax,100,100000,sigcGA,{'eps': 0.05},234,469,0.9801999999999998,0.01,0.99
20062,OneMax,100,100000,sigcGA,{'eps': 0.05},255,511,0.9899999999999999,0.99,0.99
20063,OneMax,100,100000,sigcGA,{'eps': 0.05},408,818,0.9801999999999998,0.01,0.99
20064,OneMax,100,100000,sigcGA,{'eps': 0.05},350,701,0.9899999999999999,0.99,0.99
20065,OneMax,100,100000,sigcGA,{'eps': 0.05},244,490,0.9801999999999998,0.01,0.99
20066,OneMax,100,100000,sigcGA,{'eps': 0.05},310,622,0.9801999999999998,0.01,0.99
20067,OneMax,100,100000,sigcGA,{'eps': 0.05},261,524,0.9801999999999998,0.01,0.99
20068,OneMax,100,100000,sigcGA,{'eps': 0.05},473,947,0.9801999999999998,0.01,0.99
20069,OneMax,100,100000,sigcGA,{'eps': 0.05},566,1134,0.9801999999999998,0.01,0.99
20070,OneMax,100,100000,sigcGA,{'eps': 0.05},259,520,0.9899999999999999,0.99,0.99
20071,OneMax,100,100000,sigcGA,{'eps': 0.05},334,669,0.9899999999999999,0.99,0.99
